Problem,isSolved,h*,ff_h(s),h(s),h*/h(s)
p20.pddl,0,None,22,None,0
p06.pddl,1,8,6,6,1.33333333333
p08.pddl,1,12,8,8,1.5
p18.pddl,0,None,21,None,0
p02.pddl,1,3,3,3,1.0
p22.pddl,0,None,25,None,0
p12.pddl,1,16,9,9,1.77777777778
p28.pddl,0,None,40,None,0
p30.pddl,0,None,41,None,0
p14.pddl,1,19,16,13,1.46153846154
p16.pddl,0,None,13,None,0
p04.pddl,1,8,6,6,1.33333333333
p24.pddl,0,None,29,None,0
p26.pddl,0,None,34,None,0
p10.pddl,1,18,12,12,1.5
